HNX;ABT;CTCP Xuất nhập khẩu Thủy sản Bến Tre;;2021-04-01 00:00:00;Hoạt động (Bình thường);;;Ấp 9 Xã Tân Thạch Huyện Châu Thành Tỉnh Bến Tre;02753860265;
HNX;ASG;CTCP Tập đoàn ASG;;2021-05-07 00:00:00;Hoạt động (Bình thường);;;Khu dịch vụ logistics, Cảng HKQT Nội Bài, Xã Phú Minh, Huyện Sóc Sơn, Thành phố Hà Nội, Việt Nam;0437616688;
HNX;BBC;CTCP Bibica;;2021-03-29 00:00:00;Hoạt động (Bình thường);;;443 Lý Thường Kiệt, Phường 8 Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam;02839717920;
HNX;BSI;CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam;;2021-05-06 00:00:00;Hoạt động (Bình thường);1000 - NGUYÊN VẬT LIỆU;;Tầng 1, 10, 11 Tháp BIDV 35 Hàng Vôi Hoàn Kiếm Hà Nội;;
HNX;DPS;CTCP Đầu tư Phát triển Sóc Sơn;;2015-05-06 00:00:00;Tạm ngừng giao dịch (Tạm ngừng giao dịch);06000 - Thương mại và dịch vụ lưu trú, ăn uống;;Số nhà 156, khối 4, quốc lộ 3, Xã Phù Lỗ, Huyện Sóc Sơn, Hà nội;04.35832189;
HNX;EBA;CTCP Điện Bắc Nà;;2019-12-31 00:00:00;Hoạt động (Bình thường);03000 - Công nghiệp;;Thôn Nậm Thảng, Xã Bản Liền, Huyện Bắc Hà;0203780702;
HNX;HBE;CTCP Sách - Thiết bị trường học Hà Tĩnh;;2008-02-22 00:00:00;Hoạt động (Bình thường);06000 - Thương mại và dịch vụ lưu trú, ăn uống;;Số 58 Phan Đình Phùng - TP Hà Tĩnh - Tỉnh Hà Tĩnh;"0393.893399; 0393.884788";
HNX;HKB;CTCP Nông nghiệp và Thực phẩm Hà Nội-Kinh Bắc;;2015-04-08 00:00:00;Ngừng giao dịch (Cảnh báo-Kiểm soát-Tạm ngừng giao dịch);03000 - Công nghiệp;;Số 08 Lô TT-03, Khu đô thị Hải Đăng City, ngõ 2 Phố Hàm Nghi, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội;(84.4) 37877290;
HNX;HLY;CTCP Viglacera Hạ Long I;;2006-12-04 00:00:00;Tạm ngừng giao dịch (Cảnh báo-Hạn chế giao dịch  -Hủy bắt buộc);03000 - Công nghiệp;;Km7, phường Cộng Hòa, thị xã Quảng Yên, tỉnh Quảng Ninh;02033875321;
HNX;LAF;CTCP Chế biến Hàng xuất khẩu Long An;;2021-04-14 00:00:00;Hoạt động (Cảnh báo);3000 - HÀNG TIÊU DÙNG;;Số 81 B, Quốc lộ 62, Phường 2, Thành phố Tân An, Tỉnh Long An, Việt Nam;0723821501-3823900;
HNX;MPT;CTCP Tập đoàn Trường Tiền;;2016-01-15 00:00:00;Hoạt động (Bình thường);03000 - Công nghiệp;;Cụm Công nghiệp Trường An, Xã An Khánh, Huyện Hoài Đức, Hà Nội;0433650853;
