date,dcds_price,dcbf_price,e1vfvn30_price
2004-11-01,7732.965,,
2004-12-01,7762.411999999999,,
2005-01-01,7811.19,,
2005-02-01,7955.276666666668,,
2005-03-01,8040.866666666666,,
2005-04-01,8072.85,,
2005-05-01,8061.6275,,
2005-06-01,8152.958,,
2005-07-01,8171.258,,
2005-08-01,8349.73,,
2005-09-01,8687.276,,
2005-10-01,9255.264,,
2005-11-01,9768.05,,
2005-12-01,9969.171666666669,,
2006-01-01,10416.8425,,
2006-02-01,11173.7225,,
2006-03-01,12631.674,,
2006-04-01,16770.77,,
2006-05-01,18913.7975,,
2006-06-01,19479.058,,
2006-07-01,19026.045,,
2006-08-01,18325.285,,
2006-09-01,19094.198,,
2006-10-01,17218.21,,
2006-11-01,18588.482,,
2006-12-01,24094.385,,
2007-01-01,30720.590000000004,,
2007-02-01,36429.7275,,
2007-03-01,38278.755,,
2007-04-01,33383.865999999995,,
2007-05-01,33870.974,,
2007-06-01,33891.60333333333,,
2007-07-01,30267.306,,
2007-08-01,29283.244,,
2007-09-01,30604.962,,
2007-10-01,34109.3025,,
2007-11-01,33265.16,,
2007-12-01,32315.542000000005,,
2008-01-01,30437.52,,
2008-02-01,28924.676,,
2008-03-01,23852.602000000003,,
2008-04-01,21944.2125,,
2008-05-01,19316.228,,
2008-06-01,17281.984,,
2008-07-01,18448.788,,
2008-08-01,19436.312,,
2008-09-01,19441.364,,
2008-10-01,17413.53,,
2008-11-01,16678.532,,
2008-12-01,16441.079999999998,,
2009-01-01,16505.325,,
2009-02-01,15681.884,,
2009-03-01,15811.146,,
2009-04-01,16940.558,,
2009-05-01,18298.574,,
2009-06-01,20086.728,,
2009-07-01,20247.365,,
2009-08-01,22577.704,,
2009-09-01,24619.43,,
2009-10-01,25370.281666666662,,
2009-11-01,23830.184,,
2009-12-01,22173.824,,
2010-01-01,23675.494,,
2010-02-01,23772.736,,
2010-03-01,24292.838,,
2010-04-01,24240.816666666666,,
2010-05-01,24366.54,,
2010-06-01,24320.0,,
2010-07-01,24160.6,,
2010-08-01,22405.0,,
2010-09-01,22094.8,,
2010-10-01,21465.75,,
2010-11-01,20934.25,,
2010-12-01,21435.8,,
2011-01-01,21131.25,,
2011-02-01,21062.75,,
2011-03-01,19094.4,,
2011-04-01,18553.75,,
2011-05-01,17268.75,,
2011-06-01,16969.8,,
2011-07-01,15964.25,,
2011-08-01,15350.5,,
2011-09-01,16464.0,,
2011-10-01,15445.75,,
2011-11-01,14228.5,,
2011-12-01,13277.0,,
2012-01-01,12926.5,,
2012-02-01,14166.5,,
2012-03-01,15112.8,,
2012-04-01,15869.0,,
2012-05-01,16327.0,,
2012-06-01,15641.0,,
2012-07-01,15414.5,,
2012-08-01,15376.6,,
2012-09-01,14656.75,,
2012-10-01,14709.5,,
2012-11-01,14495.8,,
2012-12-01,14739.5,,
2013-01-01,16328.8,,
2013-02-01,16970.5,,
2013-03-01,17019.0,,
2013-04-01,17389.5,,
2013-05-01,17673.4,,
2013-06-01,18358.75,,
2013-07-01,18104.25,,
2013-08-01,18430.6,,
2013-09-01,18445.75,,
2013-10-01,18872.002,10134.07,
2013-11-01,19069.2975,10144.6225,
2013-12-01,19140.1575,10195.8675,
2014-01-01,19798.3525,10281.295,
2014-02-01,21630.1875,10411.8525,
2014-03-01,22339.7325,10640.2975,
2014-04-01,22139.5225,10757.93,
2014-05-01,20806.298,10771.772,
2014-06-01,20810.9275,10789.65,
2014-07-01,21819.652,10940.318,
2014-08-01,22634.8925,11176.94,
2014-09-01,23328.03625,11489.01,10025.434
2014-10-01,23018.125652173912,11911.826,9911.955416666666
2014-11-01,22571.6235,11921.23,9776.11625
2014-12-01,20797.56818181818,11845.1425,9269.751851851852
2015-01-01,21235.865,11920.538,9453.082916666666
2015-02-01,21430.431428571428,12120.0525,9325.39
2015-03-01,21458.08,12193.345,9365.557407407408
2015-04-01,20994.30526315789,12127.29,9035.731739130437
2015-05-01,20754.124,12134.31,8925.680416666666
2015-06-01,21950.205454545456,12169.4825,9327.404166666667
2015-07-01,23214.30391304348,12245.814,10075.96037037037
2015-08-01,22844.29523809524,12312.7175,9586.324
2015-09-01,22522.110476190475,12326.9625,9193.0376
2015-10-01,23580.57590909091,12401.62,9599.143076923076
2015-11-01,24133.477142857144,12512.7375,9756.349615384615
2015-12-01,23404.038695652176,12598.5275,9275.521481481484
2016-01-01,22752.99409090909,12640.920000000002,9012.2104
2016-02-01,23098.13052631579,12795.65,9020.492777777778
2016-03-01,24099.92703703704,12788.4925,9233.80925925926
2016-04-01,24493.92916666667,12845.01,9287.485833333334
2016-05-01,25352.157391304347,12952.3775,9747.8688
2016-06-01,26182.38833333333,13064.108,9941.9844
2016-07-01,27825.64409090909,13135.06,10268.25846153846
2016-08-01,28295.626296296297,13250.285,10289.3296
2016-09-01,29032.463181818184,13434.228333333333,10606.422083333331
2016-10-01,28898.892727272727,13658.355,10571.869090909093
2016-11-01,28416.830454545456,13734.05,10311.744090909093
2016-12-01,27930.32761904762,13782.452,10032.40761904762
2017-01-01,28584.508823529413,13903.2175,10352.33888888889
2017-02-01,29302.7195,14029.505,10777.633684210528
2017-03-01,29977.58181818182,14103.685999999998,10966.300909090907
2017-04-01,30209.867894736843,14240.98,11154.57842105263
2017-05-01,30797.93863636364,14445.935,11423.27
2017-06-01,32075.67,14663.71,12199.369523809524
2017-07-01,32416.59545454545,15173.195,12290.229545454546
2017-08-01,32720.427391304347,15547.829999999998,12317.187391304347
2017-09-01,33588.12368421053,15617.6675,12892.242631578947
2017-10-01,34945.458695652174,15710.415,13345.288695652174
2017-11-01,36926.45363636364,15769.994,14589.711818181817
2017-12-01,39253.6315,15929.2225,15516.3055
2018-01-01,43207.711304347824,16420.505,17330.07739130435
2018-02-01,44013.869375,16824.7025,17345.699333333334
2018-03-01,46818.41285714286,16931.95,18344.89619047619
2018-04-01,47639.04789473685,16981.1275,18440.52157894737
2018-05-01,42935.36260869565,17095.066,16337.505652173912
2018-06-01,42110.2905,17214.947500000002,16239.6185
2018-07-01,38470.864347826086,17287.66,15037.04
2018-08-01,39783.345,17370.196,15654.900454545454
2018-09-01,40389.4485,17463.864999999998,15872.734
2018-10-01,39468.394782608695,17553.5825,15436.570434782609
2018-11-01,37101.46857142857,17645.417999999998,14678.11476190476
2018-12-01,37618.611,17771.2975,14853.7305
2019-01-01,36608.40826086957,17873.016,14159.044782608697
2019-02-01,38233.816666666666,18019.5375,14982.358666666669
2019-03-01,38944.01666666666,18135.79,15164.340952380951
2019-04-01,38461.91666666666,18240.9675,14766.911111111112
2019-05-01,38311.961363636365,18354.828,14693.107272727271
2019-06-01,37844.98428571429,18492.945,14333.486190476193
2019-07-01,39071.92260869565,18674.915,14586.634347826088
2019-08-01,40312.642857142855,18796.55,14702.72380952381
2019-09-01,40776.48809523809,18934.3975,15006.487142857142
2019-10-01,41408.67652173913,19059.998,15298.406086956524
2019-11-01,41691.744,19209.1525,15338.239
2019-12-01,40261.92136363637,19352.025,14549.083181818183
2020-01-01,41049.9,19499.152,14725.747647058824
2020-02-01,40146.996,19612.295,14231.294
2020-03-01,34473.09,19788.9375,12043.289130434783
2020-04-01,33539.58,19856.478,11712.554210526316
2020-05-01,36500.10428571429,19934.83,12939.31476190476
2020-06-01,38081.98227272727,20023.07,13462.80181818182
2020-07-01,37494.22227272728,20127.472,13196.419545454544
2020-08-01,38268.18909090909,20245.7975,13234.526363636363
2020-09-01,40330.43142857143,20340.0875,14086.58
2020-10-01,41990.27428571429,20447.266,14934.276666666668
2020-11-01,44383.16272727273,20548.905,15608.255
2020-12-01,49012.917727272725,20692.652,17110.050909090907
2021-01-01,53309.01714285715,20821.5525,18880.411904761902
2021-02-01,53597.17133333333,20862.1875,19182.474666666665
2021-03-01,55826.52782608695,20999.3875,19896.43590909091
2021-04-01,58064.14210526316,21144.756,21362.094736842104
2021-05-01,62415.87095238095,21297.97,23359.03380952381
2021-06-01,67258.36681818182,21425.15,24996.46318181818
2021-07-01,66622.59857142858,21546.756,24451.630952380958
2021-08-01,70317.24652173913,21672.48,24563.781304347824
2021-09-01,72551.126,21788.842,24329.5065
2021-10-01,76039.38095238095,21908.5375,25071.33809523809
2021-11-01,78761.31181818181,22026.4275,25718.43181818182
2021-12-01,77399.74181818182,22186.43,25445.957272727275
2022-01-01,76001.37210526316,22338.6025,25457.16157894737
2022-02-01,76718.08529411764,22442.0475,25761.467647058824
2022-03-01,77034.00173913044,22578.286,25107.00956521739
2022-04-01,73865.3894736842,22756.2125,24834.914736842107
2022-05-01,62711.71,22895.905,22125.294761904763
2022-06-01,62489.200909090905,23037.38,21572.25590909091
2022-07-01,58269.605,23150.47,20773.715555555555
