date,usd_ex_price
2014-08,21170.0
2014-09,21190.0
2014-10,21255.0
2014-11,21300.0
2014-12,21370.0
2015-01,21267.0
2015-02,21320.0
2015-03,21520.0
2015-04,21550.0
2015-05,21785.0
2015-06,21802.0
2015-07,21813.0
2015-08,22480.0
2015-09,22471.0
2015-10,22309.0
2015-11,22468.0
2015-12,22480.0
2016-01,22198.0
2016-02,22277.0
2016-03,22264.0
2016-04,22244.0
2016-05,22366.0
2016-06,22281.0
2016-07,22273.0
2016-08,22300.0
2016-09,22281.0
2016-10,22284.0
2016-11,22640.0
2016-12,22770.0
2017-01,22590.0
2017-02,22750.0
2017-03,22750.0
2017-04,22740.0
2017-05,22710.0
2017-06,22700.0
2017-07,22726.0
2017-08,22715.0
2017-09,22720.0
2017-10,22700.0
2017-11,22705.0
2017-12,22700.0
2018-01,22700.0
2018-02,22756.0
2018-03,22793.0
2018-04,22763.0
2018-05,22804.0
2018-06,22956.0
2018-07,23280.0
2018-08,23303.0
2018-09,23325.0
2018-10,23343.0
2018-11,23315.0
2018-12,23190.0
2019-01,23198.0
2019-02,23199.0
2019-03,23203.0
2019-04,23285.0
2019-05,23410.0
2019-06,23300.0
2019-07,23230.0
2019-08,23185.0
2019-09,23200.0
2019-10,23202.0
2019-11,23179.0
2019-12,23171.0
2020-01,23222.0
2020-02,23240.0
2020-03,23616.0
2020-04,23428.0
2020-05,23280.0
2020-06,23204.0
2020-07,23170.0
2020-08,23174.0
2020-09,23181.0
2020-10,23180.0
2020-11,23140.0
2020-12,23070.0
2021-01,23048.0
2021-02,23015.0
2021-03,23074.0
2021-04,23054.0
2021-05,23040.0
2021-06,23014.0
2021-07,22950.0
2021-08,22775.0
2021-09,22750.0
2021-10,22750.0
2021-11,22688.0
2021-12,22825.0
2022-01,22645.0
2022-02,22805.0
2022-03,22838.0
2022-04,22962.0
2022-05,23185.0
2022-06,23255.0
2022-07,23393.0
