date,unused_date,price,fluctuation,fluctuation_percent
12/7/2022,13/07/2022,"58.236,90","1.312,16","2,31%"
11/7/2022,12/7/2022,"56.924,74","-1.083,82","-1,87%"
10/7/2022,11/7/2022,"58.008,56","432,98","0,75%"
7/7/2022,8/7/2022,"57.575,58","703,95","1,24%"
6/7/2022,7/7/2022,"56.871,63","-1.677,05","-2,86%"
5/7/2022,6/7/2022,"58.548,68","-1.127,09","-1,89%"
4/7/2022,5/7/2022,"59.675,77","-639,21","-1,06%"
3/7/2022,4/7/2022,"60.314,98","-249,76","-0,41%"
30/06/2022,1/7/2022,"60.564,74","-1.072,32","-1,74%"
29/06/2022,30/06/2022,"61.637,06","-18,71","-0,03%"
28/06/2022,29/06/2022,"61.655,77","771,31","1,27%"
27/06/2022,28/06/2022,"60.884,46","805,79","1,34%"
26/06/2022,27/06/2022,"60.078,67","-291,45","-0,48%"
23/06/2022,24/06/2022,"60.370,12","2.044,79","3,51%"
22/06/2022,23/06/2022,"58.325,33","-1.010,60","-1,70%"
21/06/2022,22/06/2022,"59.335,93","-1.425,95","-2,35%"
20/06/2022,21/06/2022,"60.761,88","-1.993,37","-3,18%"
19/06/2022,20/06/2022,"62.755,25","-604,22","-0,95%"
16/06/2022,17/06/2022,"63.359,47","1.376,26","2,22%"
15/06/2022,16/06/2022,"61.983,21","-140,09","-0,23%"
14/06/2022,15/06/2022,"62.123,30","656,66","1,07%"
13/06/2022,14/06/2022,"61.466,64","-2.879,67","-4,48%"
12/6/2022,13/06/2022,"64.346,31","-1.828,02","-2,76%"
9/6/2022,10/6/2022,"66.174,33","238,24","0,36%"
8/6/2022,9/6/2022,"65.936,09","775,42","1,19%"
7/6/2022,8/6/2022,"65.160,67","520,04","0,80%"
6/6/2022,7/6/2022,"64.640,63","-25,19","-0,04%"
5/6/2022,6/6/2022,"64.665,82","624,74","0,98%"
2/6/2022,3/6/2022,"64.041,08","-454,58","-0,70%"
1/6/2022,2/6/2022,"64.495,66","351,11","0,55%"
31/05/2022,1/6/2022,"64.144,55",-80.89,-0.13%
30/05/2022,31/05/2022,"64.225,44",451.28,0.71%
29/05/2022,30/05/2022,"63.774,16",708.65,1.12%
26/05/2022,27/05/2022,"63.065,51",-6.49,-0.01%
25/05/2022,26/05/2022,"63.072,00",2091.29,3.43%
24/05/2022,25/05/2022,"60.980,71",764.9,1.27%
23/05/2022,24/05/2022,"60.215,81",-1023.39,-1.67%
22/05/2022,23/05/2022,"61.239,20",314.54,0.52%
19/05/2022,20/05/2022,"60.924,66",53.31,0.09%
18/05/2022,19/05/2022,"60.871,35",632.73,1.05%
17/05/2022,18/05/2022,"60.238,62",3066.72,5.36%
16/05/2022,17/05/2022,"57.171,90",-683.68,-1.18%
15/05/2022,16/05/2022,"57.855,58",-3305.61,-5.40%
12/5/2022,13/05/2022,"61.161,19",-3411.5,-5.28%
11/5/2022,12/5/2022,"64.572,69",402.64,0.63%
10/5/2022,11/5/2022,"64.170,05",1194.71,1.90%
9/5/2022,10/5/2022,"62.975,34",-3744.65,-5.61%
8/5/2022,9/5/2022,"66.719,99",-1573.28,-2.30%
5/5/2022,6/5/2022,"68.293,27",-268.91,-0.39%
4/5/2022,5/5/2022,"68.562,18",-39.95,-0.06%
28/04/2022,29/04/2022,"68.602,13",-6.1,-0.01%
27/04/2022,28/04/2022,"68.608,23",650.67,0.96%
26/04/2022,27/04/2022,"67.957,56",1280.33,1.92%
25/04/2022,26/04/2022,"66.677,23",-3774.85,-5.36%
24/04/2022,25/04/2022,"70.452,08",-181.34,-0.26%
21/04/2022,22/04/2022,"70.633,42",-504.95,-0.71%
20/04/2022,21/04/2022,"71.138,37",-981.86,-1.36%
19/04/2022,20/04/2022,"72.120,23",-1681.16,-2.28%
18/04/2022,19/04/2022,"73.801,39",-1668.88,-2.21%
17/04/2022,18/04/2022,"75.470,27",-923.34,-1.21%
14/04/2022,15/04/2022,"76.393,61",-246.93,-0.32%
13/04/2022,14/04/2022,"76.640,54",1408.33,1.87%
12/4/2022,13/04/2022,"75.232,21",-1227.36,-1.61%
11/4/2022,12/4/2022,"76.459,57",-1336.82,-1.72%
7/4/2022,8/4/2022,"77.796,39",-1197.72,-1.52%
6/4/2022,7/4/2022,"78.994,11",388.32,0.49%
5/4/2022,6/4/2022,"78.605,79",-268.22,-0.34%
4/4/2022,5/4/2022,"78.874,01",-111.25,-0.14%
3/4/2022,4/4/2022,"78.985,26",1429.6,1.84%
31/03/2022,1/4/2022,"77.555,66",-149.35,-0.19%
30/03/2022,31/03/2022,"77.705,01",-646.86,-0.83%
29/03/2022,30/03/2022,"78.351,87",720.93,0.93%
28/03/2022,29/03/2022,"77.630,94",-342.12,-0.44%
27/03/2022,28/03/2022,"77.973,06",287.48,0.37%
24/03/2022,25/03/2022,"77.685,58",-91.61,-0.12%
23/03/2022,24/03/2022,"77.777,19",-49.31,-0.06%
22/03/2022,23/03/2022,"77.826,50",513.92,0.66%
21/03/2022,22/03/2022,"77.312,58",960.28,1.26%
20/03/2022,21/03/2022,"76.352,30",276.63,0.36%
17/03/2022,18/03/2022,"76.075,67",41.67,0.05%
16/03/2022,17/03/2022,"76.034,00",432.82,0.57%
15/03/2022,16/03/2022,"75.601,18",319.37,0.42%
14/03/2022,15/03/2022,"75.281,81",-914.41,-1.20%
13/03/2022,14/03/2022,"76.196,22",-409.65,-0.53%
10/3/2022,11/3/2022,"76.605,87",463.68,0.61%
9/3/2022,10/3/2022,"76.142,19",139.98,0.18%
8/3/2022,9/3/2022,"76.002,21",-1393.09,-1.80%
7/3/2022,8/3/2022,"77.395,30",-606.98,-0.78%
6/3/2022,7/3/2022,"78.002,28",171.04,0.22%
3/3/2022,4/3/2022,"77.831,24",1102.8,1.44%
2/3/2022,3/3/2022,"76.728,44",-986.5,-1.27%
1/3/2022,2/3/2022,"77.714,94",145.27,0.19%
28/02/2022,1/3/2022,"77.569,67",-46.51,-0.06%
27/02/2022,28/02/2022,"77.616,18",521.64,0.68%
24/02/2022,25/02/2022,"77.094,54",-600.29,-0.77%
23/02/2022,24/02/2022,"77.694,83",533.83,0.69%
22/02/2022,23/02/2022,"77.161,00",-125.07,-0.16%
21/02/2022,22/02/2022,"77.286,07",186.54,0.24%
20/02/2022,21/02/2022,"77.099,53",87.92,0.11%
17/02/2022,18/02/2022,"77.011,61",801.19,1.05%
16/02/2022,17/02/2022,"76.210,42",122.78,0.16%
15/02/2022,16/02/2022,"76.087,64",843.5,1.12%
14/02/2022,15/02/2022,"75.244,14",-1659.1,-2.16%
13/02/2022,14/02/2022,"76.903,24",17.12,0.02%
10/2/2022,11/2/2022,"76.886,12",51.79,0.07%
9/2/2022,10/2/2022,"76.834,33",335.85,0.44%
8/2/2022,9/2/2022,"76.498,48",717.03,0.95%
7/2/2022,8/2/2022,"75.781,45",553.25,0.74%
6/2/2022,7/2/2022,"75.228,20",827.93,1.11%
27/01/2022,28/01/2022,"74.400,27",-574.17,-0.77%
26/01/2022,27/01/2022,"74.974,44",333.69,0.45%
25/01/2022,26/01/2022,"74.640,75",1782.27,2.45%
24/01/2022,25/01/2022,"72.858,48",-1948.98,-2.61%
23/01/2022,24/01/2022,"74.807,46",262.39,0.35%
20/01/2022,21/01/2022,"74.545,07",908.48,1.23%
19/01/2022,20/01/2022,"73.636,59",906.64,1.25%
18/01/2022,19/01/2022,"72.729,95",-621.67,-0.85%
17/01/2022,18/01/2022,"73.351,62",-2954.7,-3.87%
16/01/2022,17/01/2022,"76.306,32",-325.61,-0.42%
13/01/2022,14/01/2022,"76.631,93",-695.41,-0.90%
12/1/2022,13/01/2022,"77.327,34",1262.09,1.66%
11/1/2022,12/1/2022,"76.065,25",-931.86,-1.21%
