date,unused_date,price,fluctuation,fluctuation_percent
7/7/2022,8/7/2022,"23,150.47",49.1,0.21%
30/06/2022,1/7/2022,"23,101.37",19.37,0.08%
23/06/2022,24/06/2022,"23,082.00",47.49,0.21%
16/06/2022,17/06/2022,"23,034.51",36.23,0.16%
9/6/2022,10/6/2022,"22,998.28",27.54,0.12%
2/6/2022,3/6/2022,"22,970.74",25.92,0.11%
26/05/2022,27/05/2022,"22,944.82",30.31,0.13%
19/05/2022,20/05/2022,"22,914.51",37.62,0.16%
12/5/2022,13/05/2022,"22,876.89",29.49,0.13%
5/5/2022,6/5/2022,"22,847.40",35.19,0.15%
28/04/2022,29/04/2022,"22,812.21",34.49,0.15%
21/04/2022,22/04/2022,"22,777.72",45.33,0.20%
14/04/2022,15/04/2022,"22,732.39",29.86,0.13%
7/4/2022,8/4/2022,"22,702.53",55.93,0.25%
31/03/2022,1/4/2022,"22,646.60",36.59,0.16%
24/03/2022,25/03/2022,"22,610.01",33.94,0.15%
17/03/2022,18/03/2022,"22,576.07",29.97,0.13%
10/3/2022,11/3/2022,"22,546.10",33.45,0.15%
3/3/2022,4/3/2022,"22,512.65",31.32,0.14%
24/02/2022,25/02/2022,"22,481.33",18.31,0.08%
17/02/2022,18/02/2022,"22,463.02",28.24,0.13%
10/2/2022,11/2/2022,"22,434.78",45.72,0.20%
3/2/2022,4/2/2022,"22,389.06",27.48,0.12%
27/01/2022,28/01/2022,"22,361.58",9.32,0.04%
20/01/2022,21/01/2022,"22,352.26",18.28,0.08%
13/01/2022,14/01/2022,"22,333.98",27.39,0.12%
6/1/2022,7/1/2022,"22,306.59",36.65,0.16%
30/12/2021,31/12/2021,"22,269.94",39.75,0.18%
23/12/2021,24/12/2021,"22,230.19",53.16,0.24%
16/12/2021,17/12/2021,"22,177.03",24.77,0.11%
9/12/2021,10/12/2021,"22,152.26",49.53,0.22%
2/12/2021,3/12/2021,"22,102.73",32.59,0.15%
25/11/2021,26/11/2021,"22,070.14",30.74,0.14%
18/11/2021,19/11/2021,"22,039.40",38.9,0.18%
11/11/2021,12/11/2021,"22,000.50",4.83,0.02%
4/11/2021,5/11/2021,"21,995.67",40.29,0.18%
28/10/2021,29/10/2021,"21,955.38",27.35,0.12%
21/10/2021,22/10/2021,"21,928.03",32.59,0.15%
14/10/2021,15/10/2021,"21,895.44",40.14,0.18%
7/10/2021,8/10/2021,"21,855.30",15.84,0.07%
30/09/2021,1/10/2021,"21,839.46",24.19,0.11%
23/09/2021,24/09/2021,"21,815.27",25.85,0.12%
16/09/2021,17/09/2021,"21,789.42",25,0.11%
9/9/2021,10/9/2021,"21,764.42",28.78,0.13%
2/9/2021,3/9/2021,"21,735.64",18.04,0.08%
26/08/2021,27/08/2021,"21,717.60",37.99,0.18%
19/08/2021,20/08/2021,"21,679.61",13.27,0.06%
12/8/2021,13/08/2021,"21,666.34",39.97,0.18%
5/8/2021,6/8/2021,"21,626.37",21.94,0.10%
29/07/2021,30/07/2021,"21,604.43",26.1,0.12%
22/07/2021,23/07/2021,"21,578.33",35.31,0.16%
15/07/2021,16/07/2021,"21,543.02",19.72,0.09%
8/7/2021,9/7/2021,"21,523.30",38.6,0.18%
1/7/2021,2/7/2021,"21,484.70",17.81,0.08%
24/06/2021,25/06/2021,"21,466.89",34.01,0.16%
17/06/2021,18/06/2021,"21,432.88",20.43,0.09%
10/6/2021,11/6/2021,"21,412.45",24.07,0.11%
3/6/2021,4/6/2021,"21,388.38",28.38,0.13%
27/05/2021,28/05/2021,"21,360.00",59.39,0.28%
20/05/2021,21/05/2021,"21,300.61",17.71,0.08%
13/05/2021,14/05/2021,"21,282.90",34.53,0.16%
6/5/2021,7/5/2021,"21,248.37",25.72,0.12%
29/04/2021,30/04/2021,"21,222.65",32.79,0.15%
22/04/2021,23/04/2021,"21,189.86",60.43,0.29%
15/04/2021,16/04/2021,"21,129.43",25.35,0.12%
8/4/2021,9/4/2021,"21,104.08",26.32,0.12%
1/4/2021,2/4/2021,"21,077.76",24.4,0.12%
25/03/2021,26/03/2021,"21,053.36",28.68,0.14%
18/03/2021,19/03/2021,"21,024.68",78.55,0.38%
11/3/2021,12/3/2021,"20,946.13",-27.25,-0.13%
4/3/2021,5/3/2021,"20,973.38",12.22,0.06%
25/02/2021,26/02/2021,"20,961.16",105.21,0.50%
18/02/2021,19/02/2021,"20,855.95",26.88,0.13%
11/2/2021,12/2/2021,"20,829.07",26.5,0.13%
4/2/2021,5/2/2021,"20,802.57",-41.37,-0.20%
28/01/2021,29/01/2021,"20,843.94",-1.23,-0.01%
21/01/2021,22/01/2021,"20,845.17",27.59,0.13%
14/01/2021,15/01/2021,"20,817.58",38.06,0.18%
7/1/2021,8/1/2021,"20,779.52",23.37,0.11%
31/12/2020,31/12/2020,"20,756.15",39.24,0.19%
24/12/2020,24/12/2020,"20,716.91",19.81,0.10%
17/12/2020,17/12/2020,"20,697.10",32.8,0.16%
10/12/2020,10/12/2020,"20,664.30",35.5,0.17%
3/12/2020,3/12/2020,"20,628.80",43.49,0.21%
26/11/2020,26/11/2020,"20,585.31",28.72,0.14%
19/11/2020,19/11/2020,"20,556.59",27.16,0.13%
12/11/2020,12/11/2020,"20,529.43",5.14,0.03%
5/11/2020,5/11/2020,"20,524.29",36.85,0.18%
29/10/2020,29/10/2020,"20,487.44",14.1,0.07%
22/10/2020,22/10/2020,"20,473.34",24.2,0.12%
15/10/2020,15/10/2020,"20,449.14",22.61,0.11%
8/10/2020,8/10/2020,"20,426.53",26.65,0.13%
1/10/2020,1/10/2020,"20,399.88",23.9,0.12%
24/09/2020,24/09/2020,"20,375.98",22.92,0.11%
17/09/2020,17/09/2020,"20,353.06",24.94,0.12%
10/9/2020,10/9/2020,"20,328.12",24.93,0.12%
3/9/2020,3/9/2020,"20,303.19",26.06,0.13%
27/08/2020,27/08/2020,"20,277.13",22.14,0.11%
20/08/2020,20/08/2020,"20,254.99",16.78,0.08%
13/08/2020,13/08/2020,"20,238.21",25.35,0.13%
6/8/2020,6/8/2020,"20,212.86",43.09,0.21%
30/07/2020,30/07/2020,"20,169.77",24.28,0.12%
