date,price,open_price,high_price,low_price,fluctuation
1/7/2022,"23,393.00","23,265.00","23,398.00","23,260.00",0.59%
1/6/2022,"23,255.00","23,190.00","23,292.50","23,160.00",0.30%
1/5/2022,"23,185.00","22,964.50","23,225.00","22,937.00",0.97%
1/4/2022,"22,962.00","22,839.50","22,987.50","22,832.00",0.54%
1/3/2022,"22,838.00","22,810.00","22,927.50","22,805.00",0.14%
1/2/2022,"22,805.00","22,652.50","22,905.00","22,640.00",0.71%
1/1/2022,"22,645.00","22,770.00","22,838.50","22,617.50",-0.79%
1/12/2021,"22,825.00","22,690.00","23,130.00","22,690.00",0.60%
1/11/2021,"22,688.00","22,753.00","22,758.50","22,637.00",-0.27%
1/10/2021,"22,750.00","22,760.50","22,815.00","22,745.50",0.00%
1/9/2021,"22,750.00","22,765.00","22,795.00","22,751.00",-0.11%
1/8/2021,"22,775.00","22,955.00","22,992.50","22,771.50",-0.76%
1/7/2021,"22,950.00","23,025.00","23,034.00","22,952.50",-0.28%
1/6/2021,"23,014.00","23,046.50","23,065.00","22,940.50",-0.11%
1/5/2021,"23,040.00","23,064.00","23,071.50","23,039.00",-0.06%
1/4/2021,"23,054.00","23,075.00","23,096.00","23,036.50",-0.09%
1/3/2021,"23,074.00","23,015.00","23,095.00","23,015.00",0.26%
1/2/2021,"23,015.00","23,037.50","23,080.50","22,952.50",-0.14%
1/1/2021,"23,048.00","23,100.00","23,130.00","23,041.00",-0.10%
1/12/2020,"23,070.00","23,132.00","23,178.50","23,075.00",-0.30%
1/11/2020,"23,140.00","23,178.50","23,188.00","23,132.50",-0.17%
1/10/2020,"23,180.00","23,184.00","23,209.50","23,172.50",0.00%
1/9/2020,"23,181.00","23,174.50","23,197.50","23,171.00",0.03%
1/8/2020,"23,174.00","23,180.00","23,200.00","23,167.50",0.02%
1/7/2020,"23,170.00","23,205.00","23,246.00","23,170.50",-0.15%
1/6/2020,"23,204.00","23,281.50","23,301.00","23,186.50",-0.33%
1/5/2020,"23,280.00","23,475.00","23,475.00","23,252.50",-0.63%
1/4/2020,"23,428.00","23,590.00","23,628.00","23,415.00",-0.80%
1/3/2020,"23,616.00","23,239.00","23,651.00","23,171.50",1.62%
1/2/2020,"23,240.00","23,255.00","23,305.50","23,209.50",0.08%
1/1/2020,"23,222.00","23,171.00","23,228.00","23,164.00",0.22%
1/12/2019,"23,171.00","23,165.00","23,210.00","23,164.00",-0.03%
1/11/2019,"23,179.00","23,199.50","23,209.00","23,180.00",-0.10%
1/10/2019,"23,202.00","23,201.00","23,226.00","23,190.00",0.01%
1/9/2019,"23,200.00","23,186.00","23,231.00","23,186.00",0.06%
1/8/2019,"23,185.00","23,205.00","23,292.50","23,183.50",-0.19%
1/7/2019,"23,230.00","23,316.00","23,316.00","23,185.00",-0.30%
1/6/2019,"23,300.00","23,415.50","23,421.50","23,280.00",-0.47%
1/5/2019,"23,410.00","23,265.00","23,437.50","23,251.50",0.54%
1/4/2019,"23,285.00","23,197.00","23,291.00","23,187.00",0.35%
1/3/2019,"23,203.00","23,198.50","23,221.00","23,177.00",0.02%
1/2/2019,"23,199.00","23,196.50","23,257.00","23,165.50",0.00%
1/1/2019,"23,198.00","23,193.50","23,218.00","23,171.00",0.03%
1/12/2018,"23,190.00","23,313.50","23,351.00","23,185.00",-0.54%
1/11/2018,"23,315.00","23,345.50","23,365.00","23,280.00",-0.12%
1/10/2018,"23,343.00","23,324.00","23,358.50","23,311.50",0.08%
1/9/2018,"23,325.00","23,302.50","23,350.50","23,238.50",0.09%
1/8/2018,"23,303.00","23,291.50","23,323.00","23,246.50",0.10%
1/7/2018,"23,280.00","22,965.00","23,285.00","22,954.50",1.41%
1/6/2018,"22,956.00","22,792.00","22,967.50","22,789.50",0.67%
1/5/2018,"22,804.00","22,763.50","22,875.50","22,760.00",0.18%
1/4/2018,"22,763.00","22,788.50","22,817.50","22,760.50",-0.13%
1/3/2018,"22,793.00","22,757.50","22,822.00","22,749.00",0.16%
1/2/2018,"22,756.00","22,710.50","22,759.50","22,683.50",0.25%
1/1/2018,"22,700.00","22,709.50","22,729.00","22,701.90",0.00%
1/12/2017,"22,700.00","22,717.50","22,729.00","22,697.50",-0.02%
1/11/2017,"22,705.00","22,711.50","22,732.00","22,698.00",0.02%
1/10/2017,"22,700.00","22,726.00","22,737.00","22,706.50",-0.09%
1/9/2017,"22,720.00","22,729.00","22,740.50","22,718.00",0.02%
